area_type,availability,location,size,bath,balcony,total_m2,price_mDT
Super built-up  Area,18-May,manzel jamil,2 BHK,2,2,112.6877,410.6359914
Super built-up  Area,Ready To Move,rdif,3 BHK,3,2,153.5637,916.1170412
Plot  Area,Ready To Move,fariena,4 Bedroom,3,3,222.96,1508.898656
Super built-up  Area,Ready To Move,1ST BLOCK KORAMANGALA,4 BHK,5,3,278.7,5388.923772
Plot  Area,Ready To Move,kerouon sud,4 Bedroom,4,3,148.64,2694.461886
Super built-up  Area,Ready To Move,dar chaaben fehri,3 BHK,2,,122.7209,431.1139017
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,2,145.853,732.8936329
Built-up  Area,Ready To Move,HESSARGHATTA,8 Bedroom,8,,106.835,754.449328
Super built-up  Area,Ready To Move,NALLURHALLI,2 BHK,2,3,97.8237,474.2252919
Super built-up  Area,Ready To Move,HOYSALANAGAR,3 BHK,2,3,123.0925,603.5594624
Super built-up  Area,18-Nov,MANYATA,2 BHK,2,1,108.6001,540.0779404
Super built-up  Area,20-Jan,sousse lemdina,2 BHK,2,1,118.3546,970.0062789
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,2,122.3493,560.4480722
Built-up  Area,Ready To Move,nasrallah,2 BHK,2,1,111.0155,808.3385657
Super built-up  Area,18-Nov,hesi farid,4 BHK,4,0,265.5082,1476.565113
Super built-up  Area,Ready To Move,tastour,2 BHK,2,2,87.326,377.224664
Built-up  Area,Ready To Move,ariana soghra,3 BHK,3,2,169.078,1029.28444
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,3,134.705,577.6926283
Built-up  Area,Ready To Move,hesi farid,3 BHK,3,0,150.0335,1044.373427
Built-up  Area,Ready To Move,rgueb,3 BHK,2,3,204.38,1067.006907
Super built-up  Area,Ready To Move,jerba,2 BHK,2,1,91.5065,673.6154714
Built-up  Area,Ready To Move,dar chaaben fehri,2 BHK,2,1,103.6764,355.6689689
Super built-up  Area,Ready To Move,beb jdid,2 BHK,2,1,60.9424,269.4461886
Super built-up  Area,Ready To Move,fahs,2 BHK,2,1,102.6545,425.7249779
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,1,113.338,592.7816149
Built-up  Area,Ready To Move,manzel bourguiba,3 BHK,3,2,130.06,797.5607182
Built-up  Area,Ready To Move,BHUVANESWARI NAGAR,4 Bedroom,3,0,222.96,1993.901795
Plot  Area,Ready To Move,omrane l aala,3 Bedroom,3,0,78.965,679.0043952
Built-up  Area,Ready To Move,siida,2 BHK,2,1,92.9,377.224664
Super built-up  Area,Ready To Move,aamra,3 BHK,3,3,154.214,862.2278034
Super built-up  Area,Ready To Move,siida,3 BHK,2,1,123.557,614.33731
Super built-up  Area,18-May,sabela,2 BHK,2,1,108.2285,560.4480722
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,2,107.1137,603.5594624
Built-up  Area,Ready To Move,aamra,2 BHK,2,2,117.983,485.0031394
Super built-up  Area,18-Aug,2ND PHASE JP NAGAR,2 BHK,2,2,99.403,409.5582066
Built-up  Area,Ready To Move,RWF WEST COLONY,3 BHK,2,,132.5683,916.1170412
Super built-up  Area,Ready To Move,jawharet sousse,3 BHK,2,2,131.918,1023.895517
Plot  Area,Ready To Move,kerouon sud,4 Bedroom,5,0,148.64,1401.120181
Super built-up  Area,Ready To Move,LANGFORD TOWN,2 BHK,2,2,188.6799,2155.569509
Super built-up  Area,19-Jul,sfax lemdina,2 BHK,2,1,135.0766,970.0062789
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,3,103.6764,525.5278462
Plot  Area,Ready To Move,MARUTHI SEVANAGAR,4 Bedroom,3,1,185.8,1940.012558
Super built-up  Area,18-Jul,tela,2 BHK,2,1,125.0434,797.8840536
Super built-up  Area,Ready To Move,HESSARGHATTA,2 BHK,2,1,98.6598,538.8923772
Super built-up  Area,Ready To Move, MYSORE HIGHWAY,1 BHK,1,1,65.03,274.8351123
Super built-up  Area,19-Dec,seliena nord,2 BHK,2,1,130.5245,1067.006907
Built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,2,102.19,538.8923772
Plot  Area,Ready To Move,mhamdya,3 Bedroom,4,3,200.0137,1293.341705
Plot  Area,Ready To Move,KAMMAGONDAHALLI,3 Bedroom,3,2,111.48,1293.341705
Super built-up  Area,Ready To Move,tejrouin,3 BHK,3,2,198.3415,1832.234082
Super built-up  Area,Ready To Move,siida,2 BHK,2,1,104.5125,506.5588345
Super built-up  Area,Ready To Move,bardo,3 BHK,2,2,125.415,509.2532964
Built-up  Area,Ready To Move,kabes sud,2 BHK,2,3,99.2172,517.3366821
Super built-up  Area,Ready To Move,bouaarkoub,2 BHK,2,1,87.326,354.5911842
Super built-up  Area,18-May,tborba,2 BHK,2,1,98.7527,353.4056209
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,2,128.3878,910.7281174
Super built-up  Area,Ready To Move,tinja,2 BHK,2,1,86.9544,485.0031394
Super built-up  Area,Ready To Move,makther,3 BHK,2,3,130.06,646.6708526
Super built-up  Area,20-Aug,tela,1 BHK,1,1,44.1275,280.2240361
Super built-up  Area,Ready To Move,LIC COLONY,2 BHK,2,1,111.48,1239.452467
Super built-up  Area,Ready To Move,GLASS FACTORY LAYOUT,3 BHK,3,3,134.705,700.5600903
Super built-up  Area,Ready To Move,kerouon nord,2 BHK,2,1,107.9498,560.4480722
Super built-up  Area,18-Dec,tborba,2 BHK,2,1,107.8569,525.4200677
Super built-up  Area,Ready To Move,kasr hlel,3 BHK,2,2,150.803641,1131.673992
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,1,117.054,754.449328
Plot  Area,Ready To Move,hencha,4 Bedroom,3,2,155.3288,2047.791033
Plot  Area,Ready To Move,gafsa sud,3 Bedroom,4,2,278.7,2586.68341
Super built-up  Area,Ready To Move,tataouin sud,3 BHK,2,0,139.35,754.449328
Super built-up  Area,20-Jun,ariana soghra,1 BHK,1,0,65.4945,372.3207434
Plot  Area,Ready To Move,GAURAVA NAGAR,5 Bedroom,6,,153.285,2155.569509
Super built-up  Area,Ready To Move,DOLLARS COLONY,3 BHK,3,3,185.8,2155.569509
Plot  Area,Ready To Move,hbira,1 Bedroom,1,0,155.6075,2597.461258
Plot  Area,Ready To Move,l mida,3 Bedroom,3,2,111.48,1616.677131
Super built-up  Area,Ready To Move,rgueb,2 BHK,2,2,102.19,497.9365565
Super built-up  Area,Ready To Move,hesi farid,3 BHK,2,3,130.06,603.5594624
Super built-up  Area,Ready To Move,gubeli sud,3 BHK,3,2,209.6753,1670.566369
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,2,107.1137,608.9483862
Super built-up  Area,Ready To Move,tela,2 BHK,2,1,111.2013,612.8284113
Super built-up  Area,Ready To Move,SIDDAPURA,2 BHK,2,2,106.835,970.0062789
Super built-up  Area,20-Dec,AKSHAYANAGARA EAST,1 BHK,1,1,55.2755,431.1139017
Super built-up  Area,21-Jul,manzel bourguiba,3 BHK,3,1,170.6573,1185.56323
Plot  Area,Ready To Move,KUMBALGODU,4 Bedroom,4,,348.375,2047.791033
Super built-up  Area,Ready To Move,sfax lemdina,3 BHK,3,3,170.007,990.0530753
Super built-up  Area,Ready To Move,kasr hlel,3 BHK,3,3,159.3235,1239.452467
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,90.113,377.224664
Plot  Area,Ready To Move,sajnan,4 Bedroom,3,2,111.48,1595.121436
Built-up  Area,Ready To Move,bir lahmer,4 Bedroom,5,1,250.83,1031.978902
Plot  Area,Ready To Move,SIDDAPURA,3 Bedroom,4,2,509.092,4311.139017
Built-up  Area,Ready To Move,mnihla,4 BHK,5,1,222.96,1455.009418
Super built-up  Area,Ready To Move,tela,4 BHK,4,2,282.416,1455.009418
Super built-up  Area,18-Jul,manzel hbib,2 BHK,2,1,108.5072,711.3379378
Super built-up  Area,Ready To Move,sfax ouest,2 BHK,2,2,107.764,393.8225492
Built-up  Area,Ready To Move,MALLAPPA LAYOUT,3 BHK,3,2,139.35,808.3385657
Plot  Area,Ready To Move,hejeb laayoun,2 Bedroom,2,1,55.74,776.0050231
Plot  Area,Ready To Move,manzah6,8 Bedroom,7,3,111.48,2694.461886
Super built-up  Area,18-Dec,kousour sef,2 BHK,2,1,78.965,273.7573276
Super built-up  Area,Ready To Move,ghbeli nord,2 BHK,2,2,86.8615,420.3360542
Plot  Area,Ready To Move,ULLAL ROAD,5 Bedroom,5,1,111.48,2532.794173
Super built-up  Area,18-Apr,slimen,1 BHK,1,1,60.7566,528.1145296
Built-up  Area,Ready To Move,beni khiar,3 BHK,3,1,153.285,1940.012558
Plot  Area,Ready To Move,DODSWORTH LAYOUT,3 Bedroom,5,0,525.4424,5378.145924
Super built-up  Area,Ready To Move,VINAYAK NAGAR,2 BHK,2,1,120.77,355.6689689
Super built-up  Area,Ready To Move,nadhour,2 BHK,2,1,88.255,646.6708526
Super built-up  Area,18-May,SILK BOARD,3 BHK,3,2,116.125,582.0037673
Super built-up  Area,Ready To Move,takelsa,2 BHK,2,1,99.5888,462.0463242
Super built-up  Area,Ready To Move,ANKAPPA LAYOUT,3 BHK,2,2,132.3825,700.5600903
Built-up  Area,Ready To Move,siida,2 BHK,1,0,108.2285,453.6396031
Super built-up  Area,Ready To Move,nafta,3 BHK,2,2,129.131,748.9526258
Built-up  Area,Ready To Move,zaghwen,3 BHK,3,2,140.279,840.6721084
Super built-up  Area,Ready To Move,bradeaa,2 BHK,2,2,121.2345,970.0062789
Plot  Area,Ready To Move,mnihla,6 Bedroom,6,2,111.48,1832.234082
Built-up  Area,Ready To Move,tabarka,2 BHK,2,2,80.4514,344.8911214
Super built-up  Area,Ready To Move,mahdia,2 BHK,2,1,114.3599,910.7281174
Super built-up  Area,Ready To Move,ben guerden,3 BHK,2,3,126.344,485.0031394
Super built-up  Area,Ready To Move,douar hicher,3 BHK,3,3,232.25,1487.342961
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,3,105.906,592.7816149
Super built-up  Area,21-Dec,aamdoun,1 BHK,1,1,48.7725,323.3354263
Super built-up  Area,19-Sep,hesi farid,2 BHK,2,1,120.3055,695.1711665
Super built-up  Area,Ready To Move,mornagya,2 BHK,2,2,94.758,493.0865251
Super built-up  Area,18-Dec,sidi ali ben oun,4 BHK,4,,325.5216,2823.796056
Plot  Area,Ready To Move,SIDEDAHALLI,2 Bedroom,1,0,111.48,538.8923772
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,1,102.19,441.8917493
Plot  Area,19-Dec,aamra,4 Bedroom,4,3,438.7667,5388.923772
Super built-up  Area,Ready To Move,chbika,2 BHK,2,2,76.178,398.7803591
Plot  Area,Ready To Move,fariena,4 Bedroom,4,1,325.8932,4160.249152
Plot  Area,Ready To Move,VERSOVA LAYOUT,4 Bedroom,4,2,343.73,4311.139017
Super built-up  Area,Ready To Move,zaghwen,2 BHK,2,2,125.7866,754.449328
Super built-up  Area,Ready To Move,ghriba,4 BHK,3,2,227.8837,2694.461886
Super built-up  Area,Ready To Move,korba,2 BHK,2,1,107.2066,558.2925027
Super built-up  Area,Ready To Move,wardya,3 BHK,2,3,156.072,991.561974
Super built-up  Area,18-May,dar chaaben fehri,2 BHK,2,2,111.9445,646.6708526
Built-up  Area,Ready To Move,manzel hbib,3 BHK,2,2,130.06,926.8948887
Carpet  Area,Ready To Move,DOOPANAHALLI,3 BHK,3,1,150.9625,1616.677131
Built-up  Area,Ready To Move,l mida,3 Bedroom,3,1,139.35,786.7828706
Super built-up  Area,Ready To Move,aamra,3 BHK,2,3,141.208,862.2278034
Built-up  Area,Ready To Move,3RD STAGE RAJA RAJESHWARI NAGAR,2 BHK,3,1,120.77,700.5600903
Super built-up  Area,Ready To Move,MANAYATA TECH PARK,2 BHK,2,2,106.835,506.5588345
Super built-up  Area,18-Apr,zriba,3 BHK,3,3,163.6898,1174.785382
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,2,107.1137,625.1151575
Super built-up  Area,Ready To Move,fousena,4 BHK,4,1,246.185,2403.460002
Super built-up  Area,Ready To Move,ben guerden,3 BHK,2,2,125.415,506.5588345
Super built-up  Area,Ready To Move,hencha,2 BHK,2,2,88.255,603.5594624
Super built-up  Area,Ready To Move,aarousa,3 BHK,3,3,306.1055,3341.132738
Super built-up  Area,Ready To Move,COCONUT GROVE LAYOUT,3 BHK,3,3,140.7435,867.6167272
Super built-up  Area,Ready To Move,jelma,2 BHK,2,2,102.19,323.3354263
Super built-up  Area,Ready To Move,BYRASANDRA,2 BHK,2,2,116.125,700.5600903
Built-up  Area,Ready To Move,outik,2 Bedroom,2,0,111.48,1293.341705
Super built-up  Area,Ready To Move,manzah6,7 BHK,8,3,232.25,1023.895517
Plot  Area,Ready To Move,wed lil,4 Bedroom,4,2,111.48,1077.784754
Super built-up  Area,Ready To Move,fousena,3 BHK,2,2,125.8795,555.0591485
Super built-up  Area,18-May,DOMINIC LAYOUT,3 BHK,3,1,103.5835,421.8449528
Super built-up  Area,18-Apr,lemdina,3 BHK,3,2,118.4475,485.0031394
Super built-up  Area,19-Sep,mzouna,3 BHK,3,2,190.5379,1832.234082
Super built-up  Area,Ready To Move,hammem sousse,3 BHK,2,2,136.563,1067.006907
Super built-up  Area,Ready To Move,SILVER SPRINGS LAYOUT,3 BHK,2,3,143.995,754.449328
Built-up  Area,Ready To Move,aamra,3 BHK,2,1,117.983,786.7828706
Super built-up  Area,18-Jul,mehres,4 BHK,4,2,196.8551,1196.341077
Super built-up  Area,Ready To Move,sajnan,3 BHK,3,3,148.64,1832.234082
Super built-up  Area,Ready To Move,bou hajla,3 BHK,2,2,122.628,538.8923772
Super built-up  Area,Ready To Move,GOPALKRISHNA NAGAR,3 BHK,3,,232.7145,1778.344845
Super built-up  Area,Ready To Move,TEJASWINI NAGAR,3 BHK,2,1,130.989,582.0037673
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,3,111.48,754.449328
Super built-up  Area,18-Oct,CHENNAMMANA KERE,3 BHK,2,1,158.3945,937.2416223
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,92.4355,517.3366821
Built-up  Area,Ready To Move,borj l emri,2 BHK,2,1,100.4249,560.4480722
Super built-up  Area,Ready To Move,kabes lemdina,2 BHK,2,2,110.9226,495.780987
Super built-up  Area,18-Dec,jersis,1 BHK,1,1,56.2045,325.9221097
Built-up  Area,Ready To Move,fousena,1 BHK,1,1,52.6743,269.4461886
Super built-up  Area,Ready To Move,fawar,2 BHK,3,2,159.6022,2963.908074
Super built-up  Area,20-Dec,sidi hani,3 BHK,2,0,131.03545,758.5987993
Plot  Area,Ready To Move,beb bhar,3 Bedroom,5,1,55.74,1455.009418
Super built-up  Area,Ready To Move,kasr hlel,3 BHK,3,2,159.3235,1131.673992
Plot  Area,Ready To Move,slimen,4 Bedroom,5,,297.8374,2910.018837
Plot  Area,Ready To Move,hafouz,4 Bedroom,4,,139.35,2532.794173
Super built-up  Area,Ready To Move,aamra,3 BHK,3,2,171.4934,1293.341705
Plot  Area,Ready To Move,COCONUT GARDEN,3 Bedroom,3,1,55.74,970.0062789
Super built-up  Area,Ready To Move,hesi farid,2 BHK,2,3,94.2935,603.5594624
Plot  Area,Ready To Move,DOLLARS COLONY,4 Bedroom,8,,404.115,28022.40361
Super built-up  Area,Ready To Move,bradeaa,2 BHK,2,1,102.19,388.0025115
Super built-up  Area,Ready To Move,bradeaa,3 BHK,4,2,182.5485,1347.230943
Super built-up  Area,Ready To Move,rmeda,2 BHK,2,2,94.8509,494.7032022
Super built-up  Area,18-Apr,benzert nord,2 BHK,2,1,114.267,729.1213863
Super built-up  Area,Ready To Move,siida,2 BHK,2,2,117.054,592.7816149
Plot  Area,Ready To Move,seliena sud,4 Bedroom,4,1,222.96,7544.49328
Super built-up  Area,Ready To Move,aala,3 BHK,4,1,175.9526,1228.67462
Plot  Area,Ready To Move,beb bhar,6 Bedroom,4,2,139.35,2511.238478
Super built-up  Area,20-Jun,aarousa,3 BHK,3,2,181.155,1411.898028
Super built-up  Area,Ready To Move,kasr,2 BHK,2,3,114.3599,711.3379378
Super built-up  Area,Ready To Move,kef west,2 BHK,2,1,114.8244,625.1151575
Built-up  Area,Ready To Move,metwya,4 BHK,3,0,167.22,1293.341705
Super built-up  Area,Ready To Move,KAMAKIYA,3 BHK,3,2,153.285,1455.009418
Plot  Area,Ready To Move,KIRLOSKAR LAYOUT,5 Bedroom,3,1,69.675,948.4505838
Super built-up  Area,Ready To Move,sfax sud,3 BHK,2,2,134.0547,754.449328
Plot  Area,Ready To Move,ghbeli nord,4 Bedroom,4,2,82.3094,1293.341705
Super built-up  Area,Ready To Move,WHEELERS ROAD,2 BHK,2,1,85.9325,732.8936329
Super built-up  Area,18-Sep,rades,3 BHK,3,1,121.2345,358.6867662
Super built-up  Area,Ready To Move,ALFA GARDEN LAYOUT,2 BHK,2,2,110.551,500.1999045
Super built-up  Area,Ready To Move,siida,2 BHK,2,2,119.2836,575.1059449
Plot  Area,Ready To Move,MM LAYOUT,4 Bedroom,3,1,32.515,485.0031394
Plot  Area,Ready To Move,PALACE GUTTAHALLI,3 Bedroom,3,1,81.2875,1239.452467
Built-up  Area,Ready To Move,ben arous,2 BHK,2,1,123.0925,635.893005
Plot  Area,Ready To Move,SECTOR 6 HSR LAYOUT,6 Bedroom,5,2,222.96,8083.385657
Super built-up  Area,18-Jun,bou hajla,2 BHK,2,1,109.9007,857.2699936
Built-up  Area,Ready To Move,RAJIV GANDHI NAGAR,3 BHK,3,2,162.575,1077.784754
Super built-up  Area,Ready To Move,NAGASHETTY HALLI,4 BHK,4,2,1517.5215,1605.899284
Super built-up  Area,Ready To Move,DODDAGUBBI,1 BHK,1,2,69.3963,291.0018837
Super built-up  Area,Ready To Move,l mida,2 BHK,2,1,124.6718,970.0062789
Super built-up  Area,Ready To Move,MOTAPPA LAYOUT,2 BHK,2,1,103.3977,560.4480722
Super built-up  Area,Ready To Move,DEVARABEESANA HALLI,3 BHK,3,2,161.4602,1185.56323
Super built-up  Area,Ready To Move,mnihla,2 BHK,2,,112.0374,970.0062789
Super built-up  Area,19-Mar,jarzouna,4 BHK,4,3,259.191,2134.013814
Super built-up  Area,18-Mar,jarzouna,2 BHK,2,1,107.9498,635.893005
Super built-up  Area,Ready To Move,kabes lemdina,2 BHK,2,2,110.9226,495.780987
Built-up  Area,Ready To Move,tela,3 BHK,4,3,172.5153,1670.566369
Built-up  Area,Ready To Move,KATTIGENAHALLI,6 Bedroom,6,,325.15,1239.452467
Super built-up  Area,Ready To Move,fawar,2 BHK,3,2,163.7827,2586.68341
Super built-up  Area,Ready To Move,siida,2 BHK,2,1,106.835,495.6732085
Plot  Area,Ready To Move,sbikha,4 Bedroom,5,3,222.96,5927.816149
Super built-up  Area,Ready To Move,ben arous,2 BHK,2,2,119.841,776.0050231
Built-up  Area,Ready To Move,swasi,4 BHK,5,,316.6032,1562.787894
Built-up  Area,Ready To Move,outik,2 Bedroom,2,1,83.61,1562.787894
Built-up  Area,Ready To Move,kasserine nord,2 BHK,2,0,106.835,754.449328
Plot  Area,Ready To Move,nfidha,3 Bedroom,2,1,96.616,1174.785382
Super built-up  Area,Ready To Move,douar hicher,2 BHK,2,2,107.764,690.6444706
Super built-up  Area,Ready To Move,SOUNDARYA LAYOUT,2 BHK,2,2,83.61,291.0018837
Plot  Area,Ready To Move,tela,4 Bedroom,3,1,162.575,1993.901795
Built-up  Area,18-Dec,l mida,3 BHK,2,1,122.628,410.8515483
Super built-up  Area,Ready To Move,aala,4 BHK,4,2,208.096,1724.455607
Super built-up  Area,Ready To Move,dar chaaben fehri,2 BHK,2,1,82.7739,280.2240361
Plot  Area,Ready To Move,UDAYA NAGAR,5 Bedroom,4,3,92.9,862.2278034
Super built-up  Area,Ready To Move,sijoumi,3 BHK,3,2,172.0508,1347.230943
Super built-up  Area,Ready To Move,rades,3 BHK,2,1,122.9067,452.6695968
Super built-up  Area,Ready To Move,zouhour gasserine,2 BHK,2,1,130.4316,727.5047092
Built-up  Area,Ready To Move,kelibia,2 BHK,2,2,127.273,646.6708526
Super built-up  Area,Ready To Move,siida,3 BHK,2,2,128.6665,522.5100489
Super built-up  Area,Ready To Move,moknin,2 BHK,2,1,104.8841,538.8923772
Super built-up  Area,Ready To Move,ked ouest,3 BHK,3,1,174.2804,1616.677131
Super built-up  Area,Ready To Move,BROOKE BOND FIRST CROSS,3 BHK,3,1,159.788,1023.895517
Plot  Area,Ready To Move,bargo,4 Bedroom,4,1,111.48,862.2278034
Super built-up  Area,Ready To Move,tataouin nord,2 BHK,2,2,109.1575,934.223825
Super built-up  Area,Ready To Move,NAGAWARA JUNCTION,1 BHK,1,2,46.45,549.6702247
Plot  Area,Ready To Move,DASAPPA LAYOUT,5 Bedroom,5,2,111.48,916.1170412
Built-up  Area,Ready To Move,hammamet,1 BHK,1,0,111.48,3179.465025
Super built-up  Area,19-Jan,tborba,3 BHK,3,2,175.8597,1401.120181
Super built-up  Area,Ready To Move,hesi farid,3 BHK,3,2,132.847,560.4480722
Built-up  Area,Ready To Move,GREEN VIEW LAYOUT,2 BHK,2,2,78.965,485.0031394
Super built-up  Area,17-Mar,hay gazela,2 BHK,2,1,129.3168,1185.56323
Super built-up  Area,21-Mar,aamdoun,3 BHK,3,3,180.0402,1131.673992
Super built-up  Area,18-Oct,CHENNAMMANAKERE ACHUKATTU,2 BHK,2,2,94.758,560.4480722
Plot  Area,Ready To Move,"BEML LAYOUT, BASAVESHWARA NAGAR",3 Bedroom,2,1,222.96,3880.025115
Super built-up  Area,Ready To Move,outik,3 BHK,3,2,170.1928,1724.455607
Super built-up  Area,Ready To Move,wedi mliz,3 BHK,2,2,132.1967,916.1170412
Super built-up  Area,Ready To Move,aarousa,2 BHK,2,1,133.0328,916.1170412
Plot  Area,Ready To Move,2ND BLOCK HRBR LAYOUT,4 Bedroom,4,3,125.415,2532.794173
Plot  Area,Ready To Move,kalaa kobra,8 Bedroom,6,0,139.35,2910.018837
Super built-up  Area,Ready To Move,hay gazela,3 BHK,3,2,137.492,700.5600903
Super built-up  Area,Ready To Move,aamdoun,3 BHK,3,2,171.2147,1036.828934
Plot  Area,Ready To Move,LINGARAJAPURAM,3 Bedroom,4,2,70.604,1023.895517
Super built-up  Area,18-Dec,mahdia,3 BHK,2,1,177.9964,1616.677131
Super built-up  Area,Ready To Move,ghar lmelh,2 BHK,2,1,116.5895,598.1705386
Super built-up  Area,Ready To Move,sehlin,2 BHK,2,2,107.764,475.0875197
Super built-up  Area,18-Jun,sabela,2 BHK,2,1,245.256,1832.234082
Super built-up  Area,Ready To Move,rouad,2 BHK,2,3,107.764,571.2259198
Built-up  Area,Ready To Move,nasrallah,2 BHK,2,1,111.48,862.2278034
Super built-up  Area,Ready To Move,wardya,2 BHK,2,1,102.19,474.2252919
Carpet  Area,Ready To Move,gubeli sud,3 BHK,3,3,139.35,1077.784754
Super built-up  Area,18-May,hammamet,3 BHK,2,3,124.1144,542.6646238
Built-up  Area,Ready To Move,boumhal,2 BHK,2,1,98.9385,495.780987
Super built-up  Area,Ready To Move,jarzouna,2 BHK,2,1,120.2126,1239.452467
Super built-up  Area,Ready To Move,mareth,3 BHK,3,2,143.995,738.2825567
Super built-up  Area,18-Dec,hesi farid,2 BHK,2,1,112.9664,808.3385657
Super built-up  Area,Ready To Move,BANK OF BARODA COLONY,2 BHK,2,2,93.3645,431.1139017
Super built-up  Area,Ready To Move,wardya,3 BHK,2,1,132.847,1099.340449
Super built-up  Area,18-Dec,manzel tmim,4 BHK,4,3,380.89,7113.379378
Super built-up  Area,22-Jun,manzel bourguiba,3 BHK,3,2,154.214,1347.230943
Super built-up  Area,Ready To Move,bradeaa,3 BHK,2,3,132.847,603.5594624
Super built-up  Area,Ready To Move,mater,3 BHK,2,1,136.563,808.3385657
Super built-up  Area,Ready To Move,rouhya,2 BHK,2,1,97.0805,827.4153559
Super built-up  Area,Ready To Move,jarzouna,4 BHK,6,0,392.5025,3869.247268
Built-up  Area,Ready To Move,sidi hsin,2 BHK,2,0,88.255,323.3354263
Super built-up  Area,Ready To Move,bouaarkoub,3 BHK,3,1,128.3878,700.5600903
Super built-up  Area,Ready To Move,kalaa kobra,2 BHK,2,2,86.397,495.780987
Super built-up  Area,Ready To Move,tela,3 BHK,2,2,154.214,1250.230315
Super built-up  Area,Ready To Move,VIJINAPURA,2 BHK,2,2,119.841,775.4661307
Built-up  Area,Ready To Move,hesi farid,3 BHK,2,1,93.829,485.0031394
Built-up  Area,Ready To Move,mnihla,4 BHK,4,,283.345,1401.120181
Super built-up  Area,Ready To Move,kelibia,2 BHK,2,2,111.48,765.2271756
Built-up  Area,Ready To Move,3RD BLOCK HRBR LAYOUT,3 BHK,3,2,153.285,1508.898656
Super built-up  Area,Ready To Move,ariana soghra,3 BHK,3,2,151.9844,948.4505838
Super built-up  Area,Ready To Move,fawar,3 BHK,3,2,219.8943,3448.911214
Super built-up  Area,Ready To Move,ariana soghra,2 BHK,2,2,107.1137,609.4872786
Super built-up  Area,Ready To Move,ghazela,3 BHK,4,2,193.883229,1724.455607
Super built-up  Area,Ready To Move,chrarda,2 BHK,2,1,111.48,506.5588345
Super built-up  Area,Ready To Move,benzert sud,3 BHK,3,1,171.3076,959.2284313
Super built-up  Area,18-Dec,tborba,3 BHK,3,1,,1185.56323
Super built-up  Area,Ready To Move,sfax ouest,2 BHK,2,1,112.8735,471.53083
Super built-up  Area,18-Jul,tela,2 BHK,2,1,110.9226,614.33731
Built-up  Area,Ready To Move,CHENNAPPA LAYOUT,2 BHK,2,2,113.338,560.4480722
Built-up  Area,Ready To Move,1ST BLOCK HBR LAYOUT,4 BHK,4,2,292.635,1616.677131
Super built-up  Area,21-Dec,aamdoun,1 BHK,1,1,48.7725,280.2240361
Super built-up  Area,18-May,sokra,2 BHK,2,1,88.7195,409.2348712
Built-up  Area,Ready To Move,KADUGONDANAHALLI,5 Bedroom,5,,185.8,808.3385657
Super built-up  Area,18-Aug,jrisa,2 BHK,2,1,82.1236,517.3366821
Super built-up  Area,Ready To Move,nafta,2 BHK,2,1,116.125,740.9770186
Super built-up  Area,Ready To Move,sidi thebet,2 BHK,2,1,650.3,1455.009418
Plot  Area,Ready To Move,kelibia,3 Bedroom,4,2,222.96,3233.354263
Super built-up  Area,Ready To Move,tinja,4 BHK,4,1,277.771,2425.015697
Super built-up  Area,Ready To Move,sfax lemdina,2 BHK,2,1,111.0155,560.4480722
Super built-up  Area,Ready To Move,SADHGURU LAYOUT,1 BHK,1,1,237.7311,592.7816149
Built-up  Area,18-Mar,sfax sud,2 BHK,2,1,111.48,355.6689689
Super built-up  Area,18-Nov,tela,2 BHK,2,1,91.4136,493.0865251
Super built-up  Area,Ready To Move,sokra,2 BHK,2,1,101.1681,431.1139017
Super built-up  Area,19-Mar,mater,2 BHK,2,1,108.2285,560.4480722
Super built-up  Area,Ready To Move,rades,1 BHK,1,1,38.089,107.7784754
Super built-up  Area,18-Dec,ghar lmelh,3 BHK,3,1,137.6778,1185.56323
Built-up  Area,Ready To Move,ghbeli nord,2 Bedroom,2,1,111.48,732.8936329
Super built-up  Area,19-Dec,tibar,3 BHK,3,3,180.0402,1217.896772
Super built-up  Area,18-Apr,mornagya,3 BHK,2,2,108.3214,376.9013286
Super built-up  Area,Ready To Move,ben arous,3 BHK,2,2,118.4475,597.7394247
Super built-up  Area,Ready To Move,kousour,2 BHK,2,2,105.906,463.4474443
Plot  Area,Ready To Move,ghazela,4 Bedroom,5,1,346.8886,4634.474443
Super built-up  Area,Ready To Move,TEJASWINI NAGAR,1 BHK,1,2,66.888,301.7797312
Plot  Area,18-Apr,rgueb,3 Bedroom,3,2,111.48,2457.34924
